Data;Ref Venda;Ref Cliente;Nome do Cliente;E-Mail;Telemóvel;Ref Produto;Nome do Produto;Qt;Preço Produto c/IVA;Tipo;Categoria;Subcategoria;Marca;Pagamento;Total Compra c/IVA;Desconto
13/02/2016;7;Cliente_0001;Nome_Fictício_0001;cliente0001@exemplo.pt;900 000 001;199;Papa Branca Húmida TH Lipo Soft -  12Kg;1;37,4;Aves ;Papas;Raggio di Sole;Raggio di Sole;Contra-Reembolso;39,9;0
15/02/2016;8;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;553;Comedouro Cristal c/Gaveta;4;3,2;Aves ;Comedouros/Bebedouros;;EX;Contra-Reembolso;35,5;0
15/02/2016;8;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;543;Bebedouro Voadeira 600ml;1;1,4;Aves ;Comedouros/Bebedouros;;EX;Contra-Reembolso;35,5;0
15/02/2016;8;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;1671;Alimento Manutenção Micro - 350Gr.;1;3,6;Aves ;Granulados;Psittacus;Psittacus;Contra-Reembolso;35,5;0
15/02/2016;8;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;738;Art.83 - Ninho Plastico Piriquitos ;1;3,75;Aves ;Ninhos;Ninhos Diversos;2G-R;Contra-Reembolso;35,5;0
15/02/2016;8;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;278;Ninho Periquitos ;1;1,6;Aves ;Ninhos;Ninhos Madeira;Diversos;Contra-Reembolso;35,5;0
15/02/2016;8;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;276;Ninho Periquitos Ingleses;1;3;Aves ;Ninhos;Ninhos Madeira;Diversos;Contra-Reembolso;35,5;0
15/02/2016;8;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;275;Ninho Periquitos Inglês Horizontal;1;3;Aves ;Ninhos;Ninhos Madeira;Diversos;Contra-Reembolso;35,5;0
15/02/2016;8;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;277;Ninho Periquitos Horizontal;1;1,6;Aves ;Ninhos;Ninhos Madeira;Diversos;Contra-Reembolso;35,5;0
15/02/2016;8;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;359;Papariquitex com Cocktail e Mel - 500Gr.;1;3,25;Aves ;Papas;EX;EX;Contra-Reembolso;35,5;0
15/02/2016;8;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;568;Papa Colorante Profissional Pet Cup - 750Gr;1;3,6;Aves ;Papas;Pet Cup;Pet Cup;Contra-Reembolso;35,5;0
15/02/2016;8;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;566;Papa Insectivora Pet Cup - 750Gr.;1;2,4;Aves ;Papas;Pet Cup;Pet Cup;Contra-Reembolso;35,5;0
15/02/2016;8;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;567;Papa Frutos Tropicais Pet Cup - 750Gr;1;2,6;Aves ;Papas;Pet Cup;Pet Cup;Contra-Reembolso;35,5;0
19/02/2016;9;Cliente_0003;Nome_Fictício_0003;cliente0003@exemplo.pt;900 000 003;199;Papa Branca Húmida TH Lipo Soft -  12Kg;1;37,4;Aves ;Papas;Raggio di Sole;Raggio di Sole;Contra-Reembolso;99;0
19/02/2016;9;Cliente_0003;Nome_Fictício_0003;cliente0003@exemplo.pt;900 000 003;201;Papa Branca Seca TH WHITE EXTRA - 12kg;1;44,9;Aves ;Papas;Raggio di Sole;Raggio di Sole;Contra-Reembolso;99;0
19/02/2016;9;Cliente_0003;Nome_Fictício_0003;cliente0003@exemplo.pt;900 000 003;759;Ninho Plastico p/Canários c/Grampo - Ø12;8;6,8;Aves ;Ninhos;Ninhos Diversos;Tropical;Contra-Reembolso;99;0
19/02/2016;9;Cliente_0003;Nome_Fictício_0003;cliente0003@exemplo.pt;900 000 003;487;Vitamino L - 100ml;1;7,4;Aves ;Suplementos/Farmácia ;Zoopan;Zoopan;Contra-Reembolso;99;0
24/02/2016;10;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;548;Bebedouro Automático Copo Balanço Entrada 12mm;1;2,4;Aves ;Comedouros/Bebedouros;;Diversos;Contra-Reembolso;35,1;0
24/02/2016;10;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;547;Bebedouro Basculante;1;1,95;Aves ;Comedouros/Bebedouros;;Diversos;Contra-Reembolso;35,1;0
24/02/2016;10;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;543;Bebedouro Voadeira 600ml;2;2,8;Aves ;Comedouros/Bebedouros;;EX;Contra-Reembolso;35,1;0
24/02/2016;10;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;277;Ninho Periquitos Horizontal;2;3,2;Aves ;Ninhos;Ninhos Madeira;Diversos;Contra-Reembolso;35,1;0
24/02/2016;10;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;278;Ninho Periquitos ;2;3,2;Aves ;Ninhos;Ninhos Madeira;Diversos;Contra-Reembolso;35,1;0
24/02/2016;10;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;281;Ninho de Exóticos;1;1,1;Aves ;Ninhos;Ninhos Madeira;Diversos;Contra-Reembolso;35,1;0
24/02/2016;10;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;359;Papariquitex com Cocktail e Mel - 500Gr.;1;3,25;Aves ;Papas;EX;EX;Contra-Reembolso;35,1;0
24/02/2016;10;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;675;Papa Ovo Humida Pet Cup - 750Gr.;1;2,35;Aves ;Papas;Pet Cup;Pet Cup;Contra-Reembolso;35,1;0
24/02/2016;10;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;392;Promocria Extra - 50Gr.;1;5,65;Aves ;Suplementos/Farmácia ;Avizoon;Avizoon;Contra-Reembolso;35,1;0
24/02/2016;10;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;388;Virudine - 100ml;1;6,7;Aves ;Suplementos/Farmácia ;Avizoon;Avizoon;Contra-Reembolso;35,1;0
28/02/2016;11;Cliente_0004;Nome_Fictício_0004;cliente0004@exemplo.pt;900 000 004;3974;CHEMI-VIT - Victor Respiroil Liquido - 200ml;1;11,15;Aves ;Suplementos/Farmácia ;Chemi-Vit;Chemi-Vit;Contra-Reembolso;32,25;0
28/02/2016;11;Cliente_0004;Nome_Fictício_0004;cliente0004@exemplo.pt;900 000 004;3972;CHEMI-VIT - Victor Recupero - 200Gr.;2;18,6;Aves ;Suplementos/Farmácia ;Chemi-Vit;Chemi-Vit;Contra-Reembolso;32,25;0
29/02/2016;12;Cliente_0005;Nome_Fictício_0005;cliente0005@exemplo.pt;900 000 005;630; F827 - Viveiro Galego II c/ Tabuleiro Plástico 50cm, Cinza;1;40;Aves ;Gaiolas/Viveiros;;Koala;Transferência Bancária;70,2;0
29/02/2016;12;Cliente_0005;Nome_Fictício_0005;cliente0005@exemplo.pt;900 000 005;935;Alpista Simples - 4kg;1;5,8;Aves ;Sementes Simples;;Pet Cup;Transferência Bancária;70,2;0
29/02/2016;12;Cliente_0005;Nome_Fictício_0005;cliente0005@exemplo.pt;900 000 005;4127;Pronafit Pro-Smoke  - 3Pastilhas;1;13,8;Aves ;Suplementos/Farmácia ;Diversos;;Transferência Bancária;70,2;0
29/02/2016;12;Cliente_0005;Nome_Fictício_0005;cliente0005@exemplo.pt;900 000 005;4060;Omni-Vit - 200Gr.;1;10,6;Aves ;Suplementos/Farmácia ;Oropharma;Oropharma;Transferência Bancária;70,2;0
02/03/2016;13;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;553;Comedouro Cristal c/Gaveta;6;4,8;Aves ;Comedouros/Bebedouros;;EX;Contra-Reembolso;32,4;0
02/03/2016;13;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;278;Ninho Periquitos ;6;9,6;Aves ;Ninhos;Ninhos Madeira;Diversos;Contra-Reembolso;32,4;0
02/03/2016;13;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;277;Ninho Periquitos Horizontal;6;9,6;Aves ;Ninhos;Ninhos Madeira;Diversos;Contra-Reembolso;32,4;0
02/03/2016;13;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;281;Ninho de Exóticos;2;2,2;Aves ;Ninhos;Ninhos Madeira;Diversos;Contra-Reembolso;32,4;0
